rank,music,main_artist,year,featuring1,featuring2,photo
63,SexyBack,Justin Timberlake,2007,,,https://charts-static.billboard.com/img/2006/07/justin-timberlake-bcj-53x53.jpg
64,Keep Holding On,Avril Lavigne,2007,,,https://charts-static.billboard.com/img/2002/04/avril-lavigne-517-53x53.jpg
65,Let It Go,Keyshia Cole,2007,Missy Elliott,Lil Kim,https://charts-static.billboard.com/img/2007/06/keyshia-cole-3ov-53x53.jpg
66,Apologize,Timbaland,2007,OneRepublic,,https://charts-static.billboard.com/img/2016/11/timbaland-53x53.jpg
67,Bubbly,Colbie Caillat,2007,,,https://charts-static.billboard.com/img/1840/12/colbie-caillat-p3m-53x53.jpg
68,Like A Boy,Ciara,2007,,,https://charts-static.billboard.com/img/2007/03/ciara-b1v-53x53.jpg
69,Who Knew,P!nk,2007,,,https://charts-static.billboard.com/img/2006/07/pnk-u9h-who-knew-dsd-53x53.jpg
70,Never Again,Kelly Clarkson,2007,,,https://charts-static.billboard.com/img/2007/04/kelly-clarkson-tcv-53x53.jpg
71,Promise,Ciara,2007,,,https://charts-static.billboard.com/img/2006/10/ciara-b1v-53x53.jpg
72,Bed,J. Holiday,2007,,,https://charts-static.billboard.com/img/2007/06/j-holiday-enm-53x53.jpg
73,Throw Some D's,Rich Boy,2007,Polow Da Don,,https://charts-static.billboard.com/img/2006/09/rich-boy-d22-53x53.jpg
74,Rehab,Amy Winehouse,2007,,,https://charts-static.billboard.com/img/2007/03/amy-winehouse-rus-53x53.jpg
75,Big Things Poppin' (Do It),T.I.,2007,,,https://charts-static.billboard.com/img/2007/04/ti-e27-53x53.jpg
76,No One,Alicia Keys,2007,,,https://charts-static.billboard.com/img/2007/09/alicia-keys-xkr-53x53.jpg
77,The Great Escape,Boys Like Girls,2007,,,https://charts-static.billboard.com/img/2007/05/boys-like-girls-9nc-53x53.jpg
78,2 Step,Unk,2007,,,https://charts-static.billboard.com/img/2007/01/unk-q7p-53x53.jpg
79,Walk Away (Remember Me),Paula DeAnda,2007,The DEY,,https://charts-static.billboard.com/img/2006/09/paula-deanda-vy1-53x53.jpg
80,Go Getta,Young Jeezy,2007,R. Kelly,,https://charts-static.billboard.com/img/2006/12/jeezy-g79-53x53.jpg
81,Here (In Your Arms),Hellogoodbye,2007,,,https://charts-static.billboard.com/img/2006/09/hellogoodbye-92u-53x53.jpg
82,On The Hotline,Pretty Ricky,2007,,,https://charts-static.billboard.com/img/2006/11/pretty-ricky-ail-53x53.jpg
83,Wind It Up,Gwen Stefani,2007,,,https://charts-static.billboard.com/img/2006/11/gwen-stefani-72d-53x53.jpg
84,Cyclone,Baby Bash,2007,T-Pain,,https://charts-static.billboard.com/img/2007/06/baby-bash-kcz-53x53.jpg
85,Break It Off,Rihanna,2007,Sean Paul,,https://charts-static.billboard.com/img/2006/11/rihanna-t38-53x53.jpg
86,First Time,Lifehouse,2007,,,https://charts-static.billboard.com/img/2007/05/lifehouse-ekp-53x53.jpg
87,Ayo Technology,50 Cent,2007,Justin Timberlake,Timbaland,https://charts-static.billboard.com/img/2007/08/50-cent-9ay-53x53.jpg
88,Outta My System,Bow Wow,2007,T-Pain,Johnta Austin,https://charts-static.billboard.com/img/2007/02/bow-wow-ywr-53x53.jpg
89,Teardrops On My Guitar,Taylor Swift,2007,,,https://charts-static.billboard.com/img/2007/02/taylor-swift-p7u-teardrops-on-my-guitar-nq6-53x53.jpg
90,Shut Up And Drive,Rihanna,2007,,,https://charts-static.billboard.com/img/2007/06/rihanna-t38-shut-up-and-drive-oe8-53x53.jpg
91,Snow ((Hey Oh)),Red Hot Chili Peppers,2007,,,https://charts-static.billboard.com/img/1984/09/red-hot-chili-peppers-v42-53x53.jpg
92,Money Maker,Ludacris,2007,Pharrell,,https://charts-static.billboard.com/img/2006/07/ludacris-5cn-53x53.jpg
93,Kiss Kiss,Chris Brown,2007,T-Pain,,https://charts-static.billboard.com/img/2007/08/chris-brown-abf-53x53.jpg
94,Far Away,Nickelback,2007,,,https://charts-static.billboard.com/img/2006/01/nickelback-5lu-53x53.jpg
95,Rock Yo Hips,Crime Mob,2007,Lil Scrappy,,https://charts-static.billboard.com/img/2006/10/crime-mob-o59-53x53.jpg
96,LoveStoned,Justin Timberlake,2007,,,https://charts-static.billboard.com/img/2006/09/justin-timberlake-wmm-53x53.jpg
97,Better Than Me,Hinder,2007,,,https://charts-static.billboard.com/img/2007/02/hinder-iwo-53x53.jpg
98,Paralyzer,Finger Eleven,2007,,,https://charts-static.billboard.com/img/2006/12/finger-eleven-7ug-53x53.jpg
99,That's That,Snoop Dogg,2007,R. Kelly,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
100,Same Girl,R. Kelly Duet With Usher,2007,,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
1,Low,Flo Rida,2008,T-Pain,,https://charts-static.billboard.com/img/2007/09/flo-rida-8v1-53x53.jpg
2,Bleeding Love,Leona Lewis,2008,,,https://charts-static.billboard.com/img/2008/02/leona-lewis-8c8-53x53.jpg
3,No One,Alicia Keys,2008,,,https://charts-static.billboard.com/img/2007/09/alicia-keys-xkr-53x53.jpg
4,Lollipop,Lil Wayne,2008,Static Major,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
5,Apologize,Timbaland,2008,OneRepublic,,https://charts-static.billboard.com/img/2016/11/timbaland-53x53.jpg
6,No Air,Jordin Sparks Duet With Chris Brown,2008,,,https://charts-static.billboard.com/img/2007/12/jordin-sparks-v2k-no-air-ed4-53x53.jpg
7,Love Song,Sara Bareilles,2008,,,https://charts-static.billboard.com/img/1840/12/sara-bareilles-7da-53x53.jpg
8,Love In This Club,Usher,2008,Young Jeezy,,https://charts-static.billboard.com/img/2008/02/usher-oqp-53x53.jpg
9,With You,Chris Brown,2008,,,https://charts-static.billboard.com/img/2005/07/chris-brown-abf-53x53.jpg
10,Forever,Chris Brown,2008,,,https://charts-static.billboard.com/img/2008/04/chris-brown-cte-53x53.jpg
11,Sexy Can I,Ray J,2008,Yung Berg,,https://charts-static.billboard.com/img/2008/01/ray-j-rv3-53x53.jpg
12,Take A Bow,Rihanna,2008,,,https://charts-static.billboard.com/img/2008/03/rihanna-v3t-53x53.jpg
13,Viva La Vida,Coldplay,2008,,,https://charts-static.billboard.com/img/2008/05/coldplay-j2u-53x53.jpg
14,I Kissed A Girl,Katy Perry,2008,,,https://charts-static.billboard.com/img/2008/05/katy-perry-l8p-53x53.jpg
15,Whatever You Like,T.I.,2008,,,https://charts-static.billboard.com/img/2008/08/ti-e27-53x53.jpg
16,Disturbia,Rihanna,2008,,,https://charts-static.billboard.com/img/2008/06/rihanna-v3t-53x53.jpg
17,Don't Stop The Music,Rihanna,2008,,,https://charts-static.billboard.com/img/2005/06/rihanna-t38-53x53.jpg
18,Pocketful Of Sunshine,Natasha Bedingfield,2008,,,https://charts-static.billboard.com/img/2008/02/natasha-bedingfield-z7w-53x53.jpg
19,Kiss Kiss,Chris Brown,2008,T-Pain,,https://charts-static.billboard.com/img/2007/08/chris-brown-abf-53x53.jpg
20,Closer,Ne-Yo,2008,,,https://charts-static.billboard.com/img/2008/04/ne-yo-9u2-53x53.jpg
21,Bubbly,Colbie Caillat,2008,,,https://charts-static.billboard.com/img/1840/12/colbie-caillat-p3m-53x53.jpg
22,Touch My Body,Mariah Carey,2008,,,https://charts-static.billboard.com/img/2008/02/mariah-carey-tgq-53x53.jpg
23,4 Minutes,Madonna,2008,Justin Timberlake,Timbaland,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
24,So What,P!nk,2008,,,https://charts-static.billboard.com/img/2008/08/pnk-u9h-53x53.jpg
25,Paralyzer,Finger Eleven,2008,,,https://charts-static.billboard.com/img/2006/12/finger-eleven-7ug-53x53.jpg
26,Clumsy,Fergie,2008,,,https://charts-static.billboard.com/img/2007/10/fergie-8pu-53x53.jpg
27,I'm Yours,Jason Mraz,2008,,,https://charts-static.billboard.com/img/1840/12/jason-mraz-5w0-53x53.jpg
28,Leavin',Jesse McCartney,2008,,,https://charts-static.billboard.com/img/2008/03/jesse-mccartney-2fg-53x53.jpg
29,Dangerous,Kardinal Offishall,2008,Akon,,https://charts-static.billboard.com/img/2008/04/kardinal-offishall-e7y-53x53.jpg
30,Tattoo,Jordin Sparks,2008,,,https://charts-static.billboard.com/img/2007/09/jordin-sparks-v2k-53x53.jpg
31,See You Again,Miley Cyrus,2008,,,https://charts-static.billboard.com/img/2007/11/miley-cyrus-clj-53x53.jpg
32,Shake It,Metro Station,2008,,,https://charts-static.billboard.com/img/2008/03/metro-station-o8r-53x53.jpg
33,Stop And Stare,OneRepublic,2008,,,https://charts-static.billboard.com/img/2007/12/onerepublic-bjw-53x53.jpg
34,Take You There,Sean Kingston,2008,,,https://charts-static.billboard.com/img/2007/10/sean-kingston-qzx-53x53.jpg
35,Paper Planes,M.I.A.,2008,,,https://charts-static.billboard.com/img/2008/03/mia-1-rep-53x53.jpg
36,Hot N Cold,Katy Perry,2008,,,https://charts-static.billboard.com/img/2008/07/katy-perry-04d-53x53.jpg
37,Live Your Life,T.I.,2008,Rihanna,,https://charts-static.billboard.com/img/2008/09/ti-e27-53x53.jpg
38,Bust It Baby Part 2,Plies,2008,Ne-Yo,,https://charts-static.billboard.com/img/2008/03/plies-yvr-53x53.jpg
39,American Boy,Estelle,2008,Kanye West,,https://charts-static.billboard.com/img/2008/03/estelle-qic-53x53.jpg
40,Got Money,Lil Wayne,2008,T-Pain,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
41,Our Song,Taylor Swift,2008,,,https://charts-static.billboard.com/img/2016/12/taylor-swift-53x53.jpg
42,Damaged,Danity Kane,2008,,,https://charts-static.billboard.com/img/2008/03/danity-kane-gn6-53x53.jpg
43,A Milli,Lil Wayne,2008,,,https://charts-static.billboard.com/img/2008/05/lil-wayne-9q6-53x53.jpg
44,Sorry,Buckcherry,2008,,,https://charts-static.billboard.com/img/2007/10/buckcherry-o0u-53x53.jpg
45,Independent,Webbie,2008,Lil' Phat,Lil' Boosie,https://charts-static.billboard.com/img/2007/10/webbie-s51-53x53.jpg
46,Can't Believe It,T-Pain,2008,Lil Wayne,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
47,Like You'll Never See Me Again,Alicia Keys,2008,,,https://charts-static.billboard.com/img/2007/11/alicia-keys-xkr-53x53.jpg
48,Teardrops On My Guitar,Taylor Swift,2008,,,https://charts-static.billboard.com/img/2007/02/taylor-swift-p7u-teardrops-on-my-guitar-nq6-53x53.jpg
49,When I Grow Up,The Pussycat Dolls,2008,,,https://charts-static.billboard.com/img/2008/06/the-pussycat-dolls-t1l-53x53.jpg
50,Sensual Seduction,Snoop Dogg,2008,,,https://charts-static.billboard.com/img/2007/11/snoop-dogg-1sy-sensual-seduction-83r-53x53.jpg
51,What You Got,Colby O'Donis,2008,Akon,,https://charts-static.billboard.com/img/2008/02/colby-odonis-gai-53x53.jpg
52,It's Not My Time,3 Doors Down,2008,,,https://charts-static.billboard.com/img/2008/03/3-doors-down-qu6-53x53.jpg
53,Better In Time,Leona Lewis,2008,,,https://charts-static.billboard.com/img/2008/04/leona-lewis-8c8-53x53.jpg
54,Crank That (Soulja Boy),Soulja Boy Tell'em,2008,,,https://charts-static.billboard.com/img/2007/06/soulja-boy-4vz-53x53.jpg
55,Shadow Of The Day,Linkin Park,2008,,,https://charts-static.billboard.com/img/2007/08/linkin-park-brd-53x53.jpg
56,Sweetest Girl (Dollar Bill),Wyclef Jean,2008,"Akon, Lil Wayne",Niia,https://charts-static.billboard.com/img/2007/09/wyclef-jean-wpq-53x53.jpg
57,Miss Independent,Ne-Yo,2008,,,https://charts-static.billboard.com/img/2008/08/ne-yo-kuu-53x53.jpg
58,Fall For You,Secondhand Serenade,2008,,,https://charts-static.billboard.com/img/2008/03/secondhand-serenade-uco-53x53.jpg
59,In The Ayer,Flo Rida,2008,will.i.am,,https://charts-static.billboard.com/img/2008/05/flo-rida-8v1-53x53.jpg
60,Say,John Mayer,2008,,,https://charts-static.billboard.com/img/2007/12/john-mayer-4ke-53x53.jpg
61,One Step At A Time,Jordin Sparks,2008,,,https://charts-static.billboard.com/img/2008/05/jordin-sparks-v2k-53x53.jpg
62,Hate That I Love You,Rihanna,2008,Ne-Yo,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
63,Superstar,Lupe Fiasco,2008,Matthew Santos,,https://charts-static.billboard.com/img/2007/10/lupe-fiasco-pvm-53x53.jpg
64,Suffocate,J. Holiday,2008,,,https://charts-static.billboard.com/img/2007/10/j-holiday-enm-53x53.jpg
65,Let It Rock,Kevin Rudolf,2008,Lil Wayne,,https://charts-static.billboard.com/img/2008/08/kevin-rudolf-872-53x53.jpg
66,Get Like Me,David Banner,2008,Chris Brown,,https://charts-static.billboard.com/img/2008/01/david-banner-3rs-53x53.jpg
67,Realize,Colbie Caillat,2008,,,https://charts-static.billboard.com/img/2007/08/colbie-caillat-961-53x53.jpg
68,Put On,Young Jeezy,2008,Kanye West,,https://charts-static.billboard.com/img/2008/05/jeezy-g79-53x53.jpg
69,The Time Of My Life,David Cook,2008,,,https://charts-static.billboard.com/img/2008/06/david-cook-4hg-53x53.jpg
70,Lolli Lolli (Pop That Body),Three 6 Mafia,2008,"Project Pat, Young D",Superpower,https://charts-static.billboard.com/img/2008/04/three-6-mafia-wgx-53x53.jpg
71,Cyclone,Baby Bash,2008,T-Pain,,https://charts-static.billboard.com/img/2007/06/baby-bash-kcz-53x53.jpg
72,Love Like This,Natasha Bedingfield,2008,Sean Kingston,,https://charts-static.billboard.com/img/2007/10/natasha-bedingfield-z7w-53x53.jpg
73,Burnin' Up,Jonas Brothers,2008,,,https://charts-static.billboard.com/img/2006/08/jonas-brothers-r3d-53x53.jpg
74,Love Lockdown,Kanye West,2008,,,https://charts-static.billboard.com/img/2008/09/kanye-west-nwz-love-lockdown-mk3-53x53.jpg
75,I Luv Your Girl,The-Dream,2008,,,https://charts-static.billboard.com/img/2008/02/the-dream-8ca-53x53.jpg
76,Crush,David Archuleta,2008,,,https://charts-static.billboard.com/img/2008/08/david-archuleta-q6g-crush-45n-53x53.jpg
77,Hypnotized,Plies,2008,Akon,,https://charts-static.billboard.com/img/2007/09/plies-yvr-53x53.jpg
78,Big Girls Don't Cry,Fergie,2008,,,https://charts-static.billboard.com/img/2007/05/fergie-8pu-53x53.jpg
79,Good Life,Kanye West,2008,T-Pain,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
80,Womanizer,Britney Spears,2008,,,https://charts-static.billboard.com/img/2017/02/britney-spears-53x53.jpg
81,Love Story,Taylor Swift,2008,,,https://charts-static.billboard.com/img/2008/09/taylor-swift-70p-53x53.jpg
82,Just Fine,Mary J. Blige,2008,,,https://charts-static.billboard.com/img/2007/10/mary-j-blige-9d1-53x53.jpg
83,Piece Of Me,Britney Spears,2008,,,https://charts-static.billboard.com/img/2007/11/britney-spears-p3t-piece-of-me-18r-53x53.jpg
84,The Boss,Rick Ross,2008,T-Pain,,https://charts-static.billboard.com/img/2008/01/rick-ross-oua-53x53.jpg
85,All Summer Long,Kid Rock,2008,,,https://charts-static.billboard.com/img/2008/04/kid-rock-qaf-53x53.jpg
86,Can't Help But Wait,Trey Songz,2008,,,https://charts-static.billboard.com/img/2007/08/trey-songz-kc8-53x53.jpg
87,In Love With A Girl,Gavin DeGraw,2008,,,https://charts-static.billboard.com/img/2008/03/gavin-degraw-n1q-53x53.jpg
88,My Life,The Game,2008,Lil Wayne,,https://charts-static.billboard.com/img/2008/08/the-game-r55-my-life-51n-53x53.jpg
89,I Remember,Keyshia Cole,2008,,,https://charts-static.billboard.com/img/2007/10/keyshia-cole-3ov-53x53.jpg
90,Flashing Lights,Kanye West,2008,Dwele,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
91,Mrs. Officer,Lil Wayne,2008,Bobby Valentino,Kidd Kidd,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
92,7 Things,Miley Cyrus,2008,,,https://charts-static.billboard.com/img/2008/05/miley-cyrus-clj-53x53.jpg
93,You're Gonna Miss This,Trace Adkins,2008,,,https://charts-static.billboard.com/img/2007/12/trace-adkins-bo9-53x53.jpg
94,Love Remains The Same,Gavin Rossdale,2008,,,https://charts-static.billboard.com/img/2008/04/gavin-rossdale-rc7-53x53.jpg
95,Feels Like Tonight,Daughtry,2008,,,https://charts-static.billboard.com/img/2008/01/daughtry-uco-53x53.jpg
96,The Way I Are,Timbaland,2008,Keri Hilson,,https://charts-static.billboard.com/img/2007/05/timbaland-3i9-53x53.jpg
97,Addicted,Saving Abel,2008,,,https://charts-static.billboard.com/img/2008/02/saving-abel-2fn-53x53.jpg
98,Into The Night,Santana,2008,Chad Kroeger,,https://charts-static.billboard.com/img/2007/09/santana-fo5-53x53.jpg
99,Heaven Sent,Keyshia Cole,2008,,,https://charts-static.billboard.com/img/2017/03/keyshia-cole-53x53.jpg
100,She Got It,2 Pistols,2008,T-Pain,Tay Dizm,https://charts-static.billboard.com/img/2008/01/2-pistols-73y-53x53.jpg
1,Boom Boom Pow,The Black Eyed Peas,2009,,,https://charts-static.billboard.com/img/2009/03/the-black-eyed-peas-kvc-boom-boom-pow-we6-53x53.jpg
2,Poker Face,Lady Gaga,2009,,,https://charts-static.billboard.com/img/2008/09/lady-gaga-gyl-53x53.jpg
3,Just Dance,Lady Gaga,2009,Colby O'Donis,,https://charts-static.billboard.com/img/2008/04/lady-gaga-gyl-53x53.jpg
4,I Gotta Feeling,The Black Eyed Peas,2009,,,https://charts-static.billboard.com/img/1998/07/the-black-eyed-peas-b9u-53x53.jpg
5,Love Story,Taylor Swift,2009,,,https://charts-static.billboard.com/img/2008/09/taylor-swift-70p-53x53.jpg
6,Right Round,Flo Rida,2009,,,https://charts-static.billboard.com/img/2009/01/flo-rida-8v1-53x53.jpg
7,I'm Yours,Jason Mraz,2009,,,https://charts-static.billboard.com/img/1840/12/jason-mraz-5w0-53x53.jpg
8,Single Ladies (Put A Ring On It),Beyonce,2009,,,https://charts-static.billboard.com/img/1840/12/beyonce-hk0-53x53.jpg
9,Heartless,Kanye West,2009,,,https://charts-static.billboard.com/img/2003/03/kanye-west-nwz-53x53.jpg
10,Gives You Hell,The All-American Rejects,2009,,,https://charts-static.billboard.com/img/2008/10/the-all-american-rejects-yky-53x53.jpg
11,You Belong With Me,Taylor Swift,2009,,,https://charts-static.billboard.com/img/2016/12/taylor-swift-53x53.jpg
12,Dead And Gone,T.I.,2009,Justin Timberlake,,https://charts-static.billboard.com/img/2008/10/ti-e27-53x53.jpg
13,You Found Me,The Fray,2009,,,https://charts-static.billboard.com/img/2016/11/the-fray-53x53.jpg
14,Use Somebody,Kings Of Leon,2009,,,https://charts-static.billboard.com/img/2016/11/kings-of-leon-53x53.jpg
15,Knock You Down,Keri Hilson,2009,Kanye West,Ne-Yo,https://charts-static.billboard.com/img/2009/03/keri-hilson-1r3-53x53.jpg
16,Blame It,Jamie Foxx,2009,T-Pain,,https://charts-static.billboard.com/img/1840/12/jamie-foxx-et9-53x53.jpg
17,I Know You Want Me (Calle Ocho),Pitbull,2009,,,https://charts-static.billboard.com/img/2009/01/pitbull-odu-53x53.jpg
18,Live Your Life,T.I.,2009,Rihanna,,https://charts-static.billboard.com/img/2008/09/ti-e27-53x53.jpg
19,Kiss Me Thru The Phone,Soulja Boy Tell 'em,2009,Sammie,,https://charts-static.billboard.com/img/2008/12/soulja-boy-4vz-53x53.jpg
20,Down,Jay Sean,2009,Lil Wayne,,https://charts-static.billboard.com/img/2009/07/jay-sean-fk9-53x53.jpg
21,The Climb,Miley Cyrus,2009,,,https://charts-static.billboard.com/img/2009/02/miley-cyrus-clj-53x53.jpg
22,Best I Ever Had,Drake,2009,,,https://charts-static.billboard.com/img/2009/04/drake-hq6-53x53.jpg
23,My Life Would Suck Without You,Kelly Clarkson,2009,,,https://charts-static.billboard.com/img/2009/01/kelly-clarkson-091-53x53.jpg
24,Halo,Beyonce,2009,,,https://charts-static.billboard.com/img/2009/01/beyonce-uwg-halo-ln8-53x53.jpg
25,Hot N Cold,Katy Perry,2009,,,https://charts-static.billboard.com/img/2008/07/katy-perry-04d-53x53.jpg
26,Second Chance,Shinedown,2009,,,https://charts-static.billboard.com/img/2008/09/shinedown-pjk-53x53.jpg
27,Circus,Britney Spears,2009,,,https://charts-static.billboard.com/img/2017/02/britney-spears-53x53.jpg
28,Day 'N' Nite,Kid Cudi,2009,,,https://charts-static.billboard.com/img/2008/11/kid-cudi-f7w-53x53.jpg
29,Party In The U.S.A.,Miley Cyrus,2009,,,https://charts-static.billboard.com/img/2009/08/miley-cyrus-clj-53x53.jpg
30,Don't Trust Me,3OH!3,2009,,,https://charts-static.billboard.com/img/2008/11/3oh3-eia-53x53.jpg
31,Run This Town,"Jay-Z, Rihanna",2009,Kanye West,,https://charts-static.billboard.com/img/2009/08/jay-z-g81-53x53.jpg
32,Let It Rock,Kevin Rudolf,2009,Lil Wayne,,https://charts-static.billboard.com/img/2008/08/kevin-rudolf-872-53x53.jpg
33,Fire Burning,Sean Kingston,2009,,,https://charts-static.billboard.com/img/2009/05/sean-kingston-qzx-53x53.jpg
34,Whatcha Say,Jason Derulo,2009,,,https://charts-static.billboard.com/img/2009/07/jason-derulo-3xq-53x53.jpg
35,LoveGame,Lady Gaga,2009,,,https://charts-static.billboard.com/img/2008/09/lady-gaga-gyl-53x53.jpg
36,Waking Up In Vegas,Katy Perry,2009,,,https://charts-static.billboard.com/img/2009/05/katy-perry-l8p-53x53.jpg
37,Birthday Sex,Jeremih,2009,,,https://charts-static.billboard.com/img/2009/02/jeremih-684-53x53.jpg
38,Sober,P!nk,2009,,,https://charts-static.billboard.com/img/2008/11/pnk-u9h-53x53.jpg
39,Womanizer,Britney Spears,2009,,,https://charts-static.billboard.com/img/2017/02/britney-spears-53x53.jpg
40,Whatever You Like,T.I.,2009,,,https://charts-static.billboard.com/img/2008/08/ti-e27-53x53.jpg
41,Obsessed,Mariah Carey,2009,,,https://charts-static.billboard.com/img/2009/06/mariah-carey-tgq-53x53.jpg
42,Mad,Ne-Yo,2009,,,https://charts-static.billboard.com/img/2008/10/ne-yo-kuu-mad-5uo-53x53.jpg
43,Good Girls Go Bad,Cobra Starship,2009,Leighton Meester,,https://charts-static.billboard.com/img/2009/05/cobra-starship-g9t-53x53.jpg
44,Love Lockdown,Kanye West,2009,,,https://charts-static.billboard.com/img/2008/09/kanye-west-nwz-love-lockdown-mk3-53x53.jpg
45,So What,P!nk,2009,,,https://charts-static.billboard.com/img/2008/08/pnk-u9h-53x53.jpg
46,Hotel Room Service,Pitbull,2009,,,https://charts-static.billboard.com/img/2009/06/pitbull-odu-53x53.jpg
47,Crack A Bottle,"Eminem, Dr. Dre",2009,50 Cent,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
48,If I Were A Boy,Beyonce,2009,,,https://charts-static.billboard.com/img/2008/10/beyonce-uwg-if-i-were-a-boy-ibl-53x53.jpg
49,Turnin Me On,Keri Hilson,2009,Lil Wayne,,https://charts-static.billboard.com/img/2008/10/keri-hilson-1r3-53x53.jpg
50,I Hate This Part,The Pussycat Dolls,2009,,,https://charts-static.billboard.com/img/2008/11/the-pussycat-dolls-t1l-53x53.jpg
51,Gotta Be Somebody,Nickelback,2009,,,https://charts-static.billboard.com/img/2008/10/nickelback-v3l-gotta-be-somebody-c3n-53x53.jpg
52,Please Don't Leave Me,P!nk,2009,,,https://charts-static.billboard.com/img/2008/11/pnk-e1s-53x53.jpg
53,Paparazzi,Lady Gaga,2009,,,https://charts-static.billboard.com/img/2009/06/lady-gaga-gyl-53x53.jpg
54,Beautiful,Akon,2009,Colby O'Donis,Kardinal Offishall,https://charts-static.billboard.com/img/2008/12/akon-5il-53x53.jpg
55,Viva La Vida,Coldplay,2009,,,https://charts-static.billboard.com/img/2008/05/coldplay-j2u-53x53.jpg
56,Right Now (Na Na Na),Akon,2009,,,https://charts-static.billboard.com/img/2008/10/akon-5il-53x53.jpg
57,Battlefield,Jordin Sparks,2009,,,https://charts-static.billboard.com/img/2009/05/jordin-sparks-v2k-53x53.jpg
58,Sugar,Flo Rida,2009,Wynter,,https://charts-static.billboard.com/img/2009/04/flo-rida-8v1-53x53.jpg
59,Miss Independent,Ne-Yo,2009,,,https://charts-static.billboard.com/img/2008/08/ne-yo-kuu-53x53.jpg
60,Fireflies,Owl City,2009,,,https://charts-static.billboard.com/img/2009/08/owl-city-1t0-53x53.jpg
61,New Divide,Linkin Park,2009,,,https://charts-static.billboard.com/img/2009/06/linkin-park-brd-53x53.jpg
62,Empire State Of Mind,Jay-Z + Alicia Keys,2009,,,https://charts-static.billboard.com/img/2009/09/jay-z-gbw-53x53.jpg
63,No Surprise,Daughtry,2009,,,https://charts-static.billboard.com/img/2009/05/daughtry-uco-53x53.jpg
64,She Wolf,Shakira,2009,,,https://charts-static.billboard.com/img/2017/06/shakira-53x53.jpg
65,Break Up,Mario,2009,Gucci Mane,Sean Garrett,https://charts-static.billboard.com/img/2009/05/mario-bu9-53x53.jpg
66,Sweet Dreams,Beyonce,2009,,,https://charts-static.billboard.com/img/1840/12/beyonce-hk0-53x53.jpg
67,Every Girl,Young Money,2009,,,https://charts-static.billboard.com/img/2009/04/young-money-7wj-53x53.jpg
68,Fallin' For You,Colbie Caillat,2009,,,https://charts-static.billboard.com/img/2009/06/colbie-caillat-961-53x53.jpg
69,Untouched,The Veronicas,2009,,,https://charts-static.billboard.com/img/2008/07/the-veronicas-ixh-53x53.jpg
70,If Today Was Your Last Day,Nickelback,2009,,,https://charts-static.billboard.com/img/2017/07/nickelback-53x53.jpg
71,Throw It In The Bag,Fabolous,2009,The-Dream,,https://charts-static.billboard.com/img/2009/05/fabolous-3lg-53x53.jpg
72,Love Drunk,Boys Like Girls,2009,,,https://charts-static.billboard.com/img/2009/07/boys-like-girls-9nc-53x53.jpg
73,I Love College,Asher Roth,2009,,,https://charts-static.billboard.com/img/2009/02/asher-roth-96i-53x53.jpg
74,If U Seek Amy,Britney Spears,2009,,,https://charts-static.billboard.com/img/2017/02/britney-spears-53x53.jpg
75,Big Green Tractor,Jason Aldean,2009,,,https://charts-static.billboard.com/img/2009/05/jason-aldean-sa0-53x53.jpg
76,White Horse,Taylor Swift,2009,,,https://charts-static.billboard.com/img/2008/11/taylor-swift-70p-white-horse-5cg-53x53.jpg
77,Disturbia,Rihanna,2009,,,https://charts-static.billboard.com/img/2008/06/rihanna-v3t-53x53.jpg
78,21 Guns,Green Day,2009,,,https://charts-static.billboard.com/img/2009/05/green-day-qwn-53x53.jpg
79,Turn My Swag On,Soulja Boy Tell'em,2009,,,https://charts-static.billboard.com/img/2008/12/soulja-boy-4vz-53x53.jpg
80,Rockin' That Thang,The-Dream,2009,,,https://charts-static.billboard.com/img/2008/12/the-dream-8ca-53x53.jpg
81,Chicken Fried,Zac Brown Band,2009,,,https://charts-static.billboard.com/img/2008/06/zac-brown-band-elb-53x53.jpg
82,Diva,Beyonce,2009,,,https://charts-static.billboard.com/img/1840/12/beyonce-hk0-53x53.jpg
83,Replay,Iyaz,2009,,,https://charts-static.billboard.com/img/2009/08/iyaz-a7g-53x53.jpg
