rank,music,main_artist,year,featuring1,featuring2,photo,id_music,id_position,danceability,energy,loudness,speechiness,acousticness,instrumentalness,tempo,uri,duration_ms
37,Live Your Life,T.I.,2008,Rihanna,,https://charts-static.billboard.com/img/2008/09/ti-e27-53x53.jpg,3jlbL2OTD5YmIunYzgQTAN,236,0.375,0.862,-3.363,0.255,0.071,0.0,159.841,spotify:track:3jlbL2OTD5YmIunYzgQTAN,338853.0
38,Bust It Baby Part 2,Plies,2008,Ne-Yo,,https://charts-static.billboard.com/img/2008/03/plies-yvr-53x53.jpg,,237,,,,,,,,,
39,American Boy,Estelle,2008,Kanye West,,https://charts-static.billboard.com/img/2008/03/estelle-qic-53x53.jpg,22UDw8rSfLbUsaAGTXQ4Z8,238,0.727,0.729,-2.99,0.326,0.171,0.0,117.932,spotify:track:22UDw8rSfLbUsaAGTXQ4Z8,284733.0
40,Got Money,Lil Wayne,2008,T-Pain,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5,46lIt6GmL0VkkbuUyGDbCs,239,0.692,0.661,-4.847,0.123,0.00188,0.0,82.479,spotify:track:46lIt6GmL0VkkbuUyGDbCs,244627.0
41,Our Song,Taylor Swift,2008,,,https://charts-static.billboard.com/img/2016/12/taylor-swift-53x53.jpg,15DeqWWQB4dcEWzJg15VrN,240,0.668,0.672,-4.931,0.0303,0.111,0.0,89.011,spotify:track:15DeqWWQB4dcEWzJg15VrN,201107.0
42,Damaged,Danity Kane,2008,,,https://charts-static.billboard.com/img/2008/03/danity-kane-gn6-53x53.jpg,4yHFxB8kzzeuNvoouR8N0N,241,0.774,0.653,-5.158,0.05,0.0912,0.0,120.01,spotify:track:4yHFxB8kzzeuNvoouR8N0N,244267.0
43,A Milli,Lil Wayne,2008,,,https://charts-static.billboard.com/img/2008/05/lil-wayne-9q6-53x53.jpg,6ScJMrlpiLfZUGtWp4QIVt,242,0.673,0.695,-8.636,0.278,0.0387,0.00206,151.468,spotify:track:6ScJMrlpiLfZUGtWp4QIVt,221840.0
44,Sorry,Buckcherry,2008,,,https://charts-static.billboard.com/img/2007/10/buckcherry-o0u-53x53.jpg,,243,,,,,,,,,
45,Independent,Webbie,2008,Lil' Phat,Lil' Boosie,https://charts-static.billboard.com/img/2007/10/webbie-s51-53x53.jpg,65D95SmygxGCQGiI64eaZf,244,0.725,0.431,-5.988,0.0707,0.00113,0.0,174.083,spotify:track:65D95SmygxGCQGiI64eaZf,250027.0
46,Can't Believe It,T-Pain,2008,Lil Wayne,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5,,245,,,,,,,,,
47,Like You'll Never See Me Again,Alicia Keys,2008,,,https://charts-static.billboard.com/img/2007/11/alicia-keys-xkr-53x53.jpg,3JHDtmFdX9kdx9wz0md98U,246,0.562,0.658,-8.072,0.0314,0.174,0.000285,127.81,spotify:track:3JHDtmFdX9kdx9wz0md98U,315360.0
48,Teardrops On My Guitar,Taylor Swift,2008,,,https://charts-static.billboard.com/img/2007/02/taylor-swift-p7u-teardrops-on-my-guitar-nq6-53x53.jpg,7snx7w5WZLHovS0xC45ZfP,247,0.626,0.44,-6.942,0.0232,0.331,0.0,99.962,spotify:track:7snx7w5WZLHovS0xC45ZfP,204707.0
49,When I Grow Up,The Pussycat Dolls,2008,,,https://charts-static.billboard.com/img/2008/06/the-pussycat-dolls-t1l-53x53.jpg,21pySLskKIKrhDziCX5ojQ,248,0.671,0.685,-5.762,0.05,0.00165,0.0,118.449,spotify:track:21pySLskKIKrhDziCX5ojQ,245680.0
50,Sensual Seduction,Snoop Dogg,2008,,,https://charts-static.billboard.com/img/2007/11/snoop-dogg-1sy-sensual-seduction-83r-53x53.jpg,1wva1IlWLDNLgwipUWcmjy,249,0.756,0.829,-3.973,0.0682,0.003,3.46e-05,120.163,spotify:track:1wva1IlWLDNLgwipUWcmjy,245520.0
51,What You Got,Colby O'Donis,2008,Akon,,https://charts-static.billboard.com/img/2008/02/colby-odonis-gai-53x53.jpg,3MldzywZOH4Uci6bq9noyJ,250,0.775,0.641,-6.718,0.038,0.0327,0.0,119.974,spotify:track:3MldzywZOH4Uci6bq9noyJ,243013.0
52,It's Not My Time,3 Doors Down,2008,,,https://charts-static.billboard.com/img/2008/03/3-doors-down-qu6-53x53.jpg,0uybt73QFXaLCoxuVf6fhm,251,0.532,0.935,-4.798,0.0619,0.00133,8.37e-06,128.025,spotify:track:0uybt73QFXaLCoxuVf6fhm,241960.0
53,Better In Time,Leona Lewis,2008,,,https://charts-static.billboard.com/img/2008/04/leona-lewis-8c8-53x53.jpg,,252,,,,,,,,,
54,Crank That (Soulja Boy),Soulja Boy Tell'em,2008,,,https://charts-static.billboard.com/img/2007/06/soulja-boy-4vz-53x53.jpg,,253,,,,,,,,,
55,Shadow Of The Day,Linkin Park,2008,,,https://charts-static.billboard.com/img/2007/08/linkin-park-brd-53x53.jpg,,254,,,,,,,,,
56,Sweetest Girl (Dollar Bill),Wyclef Jean,2008,"Akon, Lil Wayne",Niia,https://charts-static.billboard.com/img/2007/09/wyclef-jean-wpq-53x53.jpg,,255,,,,,,,,,
57,Miss Independent,Ne-Yo,2008,,,https://charts-static.billboard.com/img/2008/08/ne-yo-kuu-53x53.jpg,34ceTg8ChN5HjrqiIYCn9Q,256,0.673,0.683,-5.693,0.115,0.522,0.0,171.86,spotify:track:34ceTg8ChN5HjrqiIYCn9Q,232000.0
58,Fall For You,Secondhand Serenade,2008,,,https://charts-static.billboard.com/img/2008/03/secondhand-serenade-uco-53x53.jpg,7lWF2mVr1KKbVnaT2nSlPo,257,0.387,0.442,-7.086,0.0352,0.19,0.0,169.481,spotify:track:7lWF2mVr1KKbVnaT2nSlPo,185600.0
59,In The Ayer,Flo Rida,2008,will.i.am,,https://charts-static.billboard.com/img/2008/05/flo-rida-8v1-53x53.jpg,75zPFT0anNcrdLY6Vd1YPI,258,0.753,0.678,-7.076,0.0674,0.000497,8.66e-05,127.575,spotify:track:75zPFT0anNcrdLY6Vd1YPI,195293.0
60,Say,John Mayer,2008,,,https://charts-static.billboard.com/img/2007/12/john-mayer-4ke-53x53.jpg,,259,,,,,,,,,
61,One Step At A Time,Jordin Sparks,2008,,,https://charts-static.billboard.com/img/2008/05/jordin-sparks-v2k-53x53.jpg,,260,,,,,,,,,
62,Hate That I Love You,Rihanna,2008,Ne-Yo,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5,7iu0WYLdo4yksKf3seaxzI,261,0.637,0.73,-5.38,0.0874,0.323,0.0,93.867,spotify:track:7iu0WYLdo4yksKf3seaxzI,218947.0
63,Superstar,Lupe Fiasco,2008,Matthew Santos,,https://charts-static.billboard.com/img/2007/10/lupe-fiasco-pvm-53x53.jpg,7dltD9eEX7X1zk8JJ9BS0e,262,0.572,0.822,-6.015,0.361,0.207,0.0,94.812,spotify:track:7dltD9eEX7X1zk8JJ9BS0e,289000.0
64,Suffocate,J. Holiday,2008,,,https://charts-static.billboard.com/img/2007/10/j-holiday-enm-53x53.jpg,3nJjIYchBNkYm7B8XfJf5N,263,0.458,0.445,-8.391,0.361,0.64,0.0,82.82,spotify:track:3nJjIYchBNkYm7B8XfJf5N,220053.0
65,Let It Rock,Kevin Rudolf,2008,Lil Wayne,,https://charts-static.billboard.com/img/2008/08/kevin-rudolf-872-53x53.jpg,6TrNRd98WksT9Kkmx9uj6R,264,0.607,0.784,-4.41,0.0397,0.000684,0.0,113.172,spotify:track:6TrNRd98WksT9Kkmx9uj6R,231173.0
66,Get Like Me,David Banner,2008,Chris Brown,,https://charts-static.billboard.com/img/2008/01/david-banner-3rs-53x53.jpg,2IBF9lQ9lgVai8LkskI5L7,265,0.823,0.753,-4.199,0.476,0.00323,0.0,117.281,spotify:track:2IBF9lQ9lgVai8LkskI5L7,224547.0
67,Realize,Colbie Caillat,2008,,,https://charts-static.billboard.com/img/2007/08/colbie-caillat-961-53x53.jpg,5OGkKx8jP0A5KSULEc6XYZ,266,0.693,0.594,-6.408,0.0325,0.13,0.0,123.932,spotify:track:5OGkKx8jP0A5KSULEc6XYZ,244107.0
68,Put On,Young Jeezy,2008,Kanye West,,https://charts-static.billboard.com/img/2008/05/jeezy-g79-53x53.jpg,,267,,,,,,,,,
69,The Time Of My Life,David Cook,2008,,,https://charts-static.billboard.com/img/2008/06/david-cook-4hg-53x53.jpg,,268,,,,,,,,,
70,Lolli Lolli (Pop That Body),Three 6 Mafia,2008,"Project Pat, Young D",Superpower,https://charts-static.billboard.com/img/2008/04/three-6-mafia-wgx-53x53.jpg,,269,,,,,,,,,
71,Cyclone,Baby Bash,2008,T-Pain,,https://charts-static.billboard.com/img/2007/06/baby-bash-kcz-53x53.jpg,0x1LCpY9Rgeq97VPajm81B,270,0.644,0.725,-4.622,0.0701,0.0112,0.0,77.977,spotify:track:0x1LCpY9Rgeq97VPajm81B,222053.0
72,Love Like This,Natasha Bedingfield,2008,Sean Kingston,,https://charts-static.billboard.com/img/2007/10/natasha-bedingfield-z7w-53x53.jpg,49ppqF73rOz5Nyt1paRxIF,271,0.781,0.791,-3.903,0.0468,0.145,0.0,76.998,spotify:track:49ppqF73rOz5Nyt1paRxIF,222293.0
73,Burnin' Up,Jonas Brothers,2008,,,https://charts-static.billboard.com/img/2006/08/jonas-brothers-r3d-53x53.jpg,2VEsmoek0sol9MnJFyoG9e,272,0.667,0.954,-3.462,0.0817,0.0296,0.0,114.0,spotify:track:2VEsmoek0sol9MnJFyoG9e,175093.0
74,Love Lockdown,Kanye West,2008,,,https://charts-static.billboard.com/img/2008/09/kanye-west-nwz-love-lockdown-mk3-53x53.jpg,1kxeWHF9PrCVZHvVskv8lg,273,0.76,0.524,-7.67,0.0323,0.0542,0.5,119.603,spotify:track:1kxeWHF9PrCVZHvVskv8lg,270307.0
75,I Luv Your Girl,The-Dream,2008,,,https://charts-static.billboard.com/img/2008/02/the-dream-8ca-53x53.jpg,3wkNK8tJZ2stygNJm8RCRD,274,0.723,0.322,-9.702,0.0341,0.014,0.0,90.063,spotify:track:3wkNK8tJZ2stygNJm8RCRD,267867.0
76,Crush,David Archuleta,2008,,,https://charts-static.billboard.com/img/2008/08/david-archuleta-q6g-crush-45n-53x53.jpg,4wCD0qOFNRu1Q6O3N6ycm4,275,0.57,0.664,-4.718,0.0322,0.00836,1.2e-05,162.084,spotify:track:4wCD0qOFNRu1Q6O3N6ycm4,213520.0
77,Hypnotized,Plies,2008,Akon,,https://charts-static.billboard.com/img/2007/09/plies-yvr-53x53.jpg,3LN41NUdHkyNqQhi9gExMm,276,0.84,0.571,-7.421,0.0797,0.16,0.0,116.59,spotify:track:3LN41NUdHkyNqQhi9gExMm,188493.0
78,Big Girls Don't Cry,Fergie,2008,,,https://charts-static.billboard.com/img/2007/05/fergie-8pu-53x53.jpg,3Q4WeJmzxuDpzMu9QjQqbM,277,0.708,0.641,-4.296,0.0336,0.205,0.0,113.082,spotify:track:3Q4WeJmzxuDpzMu9QjQqbM,268120.0
79,Good Life,Kanye West,2008,T-Pain,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5,14blxrgE0VWAgv5aF2wWmx,278,0.439,0.808,-6.881,0.346,0.00305,0.0,82.962,spotify:track:14blxrgE0VWAgv5aF2wWmx,207000.0
80,Womanizer,Britney Spears,2008,,,https://charts-static.billboard.com/img/2017/02/britney-spears-53x53.jpg,4fixebDZAVToLbUCuEloa2,279,0.724,0.695,-5.226,0.0622,0.073,0.0,139.0,spotify:track:4fixebDZAVToLbUCuEloa2,224400.0
81,Love Story,Taylor Swift,2008,,,https://charts-static.billboard.com/img/2008/09/taylor-swift-70p-53x53.jpg,1vrd6UOGamcKNGnSHJQlSt,280,0.618,0.741,-3.95,0.031,0.17,0.0,118.984,spotify:track:1vrd6UOGamcKNGnSHJQlSt,235267.0
82,Just Fine,Mary J. Blige,2008,,,https://charts-static.billboard.com/img/2007/10/mary-j-blige-9d1-53x53.jpg,33vzOPcd9FRirYGlCu32x4,281,0.923,0.795,-3.61,0.117,0.0394,0.000565,123.022,spotify:track:33vzOPcd9FRirYGlCu32x4,242133.0
83,Piece Of Me,Britney Spears,2008,,,https://charts-static.billboard.com/img/2007/11/britney-spears-p3t-piece-of-me-18r-53x53.jpg,,282,,,,,,,,,
84,The Boss,Rick Ross,2008,T-Pain,,https://charts-static.billboard.com/img/2008/01/rick-ross-oua-53x53.jpg,3n5qF6aprwEIjHWuH5jECM,283,0.431,0.842,-4.072,0.357,0.00876,0.0,83.66,spotify:track:3n5qF6aprwEIjHWuH5jECM,225653.0
85,All Summer Long,Kid Rock,2008,,,https://charts-static.billboard.com/img/2008/04/kid-rock-qaf-53x53.jpg,5rX6C5QVvvZB7XckETNych,284,0.7,0.864,-3.629,0.0283,0.0212,0.0,102.997,spotify:track:5rX6C5QVvvZB7XckETNych,297587.0
86,Can't Help But Wait,Trey Songz,2008,,,https://charts-static.billboard.com/img/2007/08/trey-songz-kc8-53x53.jpg,,285,,,,,,,,,
87,In Love With A Girl,Gavin DeGraw,2008,,,https://charts-static.billboard.com/img/2008/03/gavin-degraw-n1q-53x53.jpg,,286,,,,,,,,,
88,My Life,The Game,2008,Lil Wayne,,https://charts-static.billboard.com/img/2008/08/the-game-r55-my-life-51n-53x53.jpg,,287,,,,,,,,,
89,I Remember,Keyshia Cole,2008,,,https://charts-static.billboard.com/img/2007/10/keyshia-cole-3ov-53x53.jpg,1dObJGQUgJ7tWxJ0byON6W,288,0.422,0.736,-4.426,0.049,0.203,0.0,129.278,spotify:track:1dObJGQUgJ7tWxJ0byON6W,260093.0
90,Flashing Lights,Kanye West,2008,Dwele,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5,31I3Rt1bPa2LrE74DdNizO,289,0.639,0.628,-7.578,0.0399,0.0381,0.0,90.482,spotify:track:31I3Rt1bPa2LrE74DdNizO,237507.0
91,Mrs. Officer,Lil Wayne,2008,Bobby Valentino,Kidd Kidd,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5,0EHR9OObFtjlhQB8wSt1m7,290,0.92,0.553,-5.068,0.189,0.237,0.0,112.021,spotify:track:0EHR9OObFtjlhQB8wSt1m7,286907.0
92,7 Things,Miley Cyrus,2008,,,https://charts-static.billboard.com/img/2008/05/miley-cyrus-clj-53x53.jpg,5ecZWU5uQOiCVSnPxBZNmT,291,0.59,0.903,-4.478,0.0363,0.0232,0.0,107.023,spotify:track:5ecZWU5uQOiCVSnPxBZNmT,213453.0
93,You're Gonna Miss This,Trace Adkins,2008,,,https://charts-static.billboard.com/img/2007/12/trace-adkins-bo9-53x53.jpg,,292,,,,,,,,,
94,Love Remains The Same,Gavin Rossdale,2008,,,https://charts-static.billboard.com/img/2008/04/gavin-rossdale-rc7-53x53.jpg,4dOXc4Suk5eig0jiCqCN5Y,293,0.406,0.632,-5.115,0.0344,0.236,0.0,149.258,spotify:track:4dOXc4Suk5eig0jiCqCN5Y,249440.0
95,Feels Like Tonight,Daughtry,2008,,,https://charts-static.billboard.com/img/2008/01/daughtry-uco-53x53.jpg,2tVCFmn2zKg2wGXS1TCIIA,294,0.483,0.907,-3.166,0.045,0.000822,0.0,130.984,spotify:track:2tVCFmn2zKg2wGXS1TCIIA,238701.0
96,The Way I Are,Timbaland,2008,Keri Hilson,,https://charts-static.billboard.com/img/2007/05/timbaland-3i9-53x53.jpg,2bLqfJjuC5syrsgDsZfGmn,295,0.731,0.807,-6.492,0.1,0.181,0.751,114.759,spotify:track:2bLqfJjuC5syrsgDsZfGmn,179120.0
97,Addicted,Saving Abel,2008,,,https://charts-static.billboard.com/img/2008/02/saving-abel-2fn-53x53.jpg,3pxCXv0NACYfYnLjFcQW5D,296,0.512,0.865,-4.146,0.0338,0.000821,0.0,138.017,spotify:track:3pxCXv0NACYfYnLjFcQW5D,222827.0
98,Into The Night,Santana,2008,Chad Kroeger,,https://charts-static.billboard.com/img/2007/09/santana-fo5-53x53.jpg,,297,,,,,,,,,
99,Heaven Sent,Keyshia Cole,2008,,,https://charts-static.billboard.com/img/2017/03/keyshia-cole-53x53.jpg,2E90KUsor4U2abOJGFKtfx,298,0.642,0.742,-3.614,0.0429,0.0832,0.0,78.858,spotify:track:2E90KUsor4U2abOJGFKtfx,232880.0
100,She Got It,2 Pistols,2008,T-Pain,Tay Dizm,https://charts-static.billboard.com/img/2008/01/2-pistols-73y-53x53.jpg,11WuptzKtcVfPMYaf5aook,299,0.517,0.747,-6.191,0.105,0.00431,0.0,134.062,spotify:track:11WuptzKtcVfPMYaf5aook,274053.0
1,Boom Boom Pow,The Black Eyed Peas,2009,,,https://charts-static.billboard.com/img/2009/03/the-black-eyed-peas-kvc-boom-boom-pow-we6-53x53.jpg,,300,,,,,,,,,
2,Poker Face,Lady Gaga,2009,,,https://charts-static.billboard.com/img/2008/09/lady-gaga-gyl-53x53.jpg,5ztAPqM38EJOL9hmNAUEU7,301,0.851,0.806,-4.618,0.0786,0.12,1.33e-06,119.001,spotify:track:5ztAPqM38EJOL9hmNAUEU7,237200.0
3,Just Dance,Lady Gaga,2009,Colby O'Donis,,https://charts-static.billboard.com/img/2008/04/lady-gaga-gyl-53x53.jpg,4pqWpYDywe1X7xVPh39XsC,302,0.822,0.737,-4.542,0.0314,0.0261,4.19e-05,118.994,spotify:track:4pqWpYDywe1X7xVPh39XsC,241933.0
4,I Gotta Feeling,The Black Eyed Peas,2009,,,https://charts-static.billboard.com/img/1998/07/the-black-eyed-peas-b9u-53x53.jpg,,303,,,,,,,,,
5,Love Story,Taylor Swift,2009,,,https://charts-static.billboard.com/img/2008/09/taylor-swift-70p-53x53.jpg,1vrd6UOGamcKNGnSHJQlSt,304,0.618,0.741,-3.95,0.031,0.17,0.0,118.984,spotify:track:1vrd6UOGamcKNGnSHJQlSt,235267.0
6,Right Round,Flo Rida,2009,,,https://charts-static.billboard.com/img/2009/01/flo-rida-8v1-53x53.jpg,3GpbwCm3YxiWDvy29Uo3vP,305,0.72,0.672,-6.852,0.0551,0.009,0.0,124.986,spotify:track:3GpbwCm3YxiWDvy29Uo3vP,204640.0
7,I'm Yours,Jason Mraz,2009,,,https://charts-static.billboard.com/img/1840/12/jason-mraz-5w0-53x53.jpg,5smPViFYtztTo7ww9gJXpD,306,0.549,0.107,-16.147,0.0844,0.957,0.0,74.63,spotify:track:5smPViFYtztTo7ww9gJXpD,219053.0
8,Single Ladies (Put A Ring On It),Beyonce,2009,,,https://charts-static.billboard.com/img/1840/12/beyonce-hk0-53x53.jpg,,307,,,,,,,,,
9,Heartless,Kanye West,2009,,,https://charts-static.billboard.com/img/2003/03/kanye-west-nwz-53x53.jpg,,308,,,,,,,,,
10,Gives You Hell,The All-American Rejects,2009,,,https://charts-static.billboard.com/img/2008/10/the-all-american-rejects-yky-53x53.jpg,6ihL9TjfRjadfEePzXXyVF,309,0.718,0.691,-6.44,0.0387,0.0159,0.0,100.008,spotify:track:6ihL9TjfRjadfEePzXXyVF,213107.0
11,You Belong With Me,Taylor Swift,2009,,,https://charts-static.billboard.com/img/2016/12/taylor-swift-53x53.jpg,3GCL1PydwsLodcpv0Ll1ch,310,0.687,0.783,-4.44,0.0386,0.162,1.35e-05,129.964,spotify:track:3GCL1PydwsLodcpv0Ll1ch,231133.0
12,Dead And Gone,T.I.,2009,Justin Timberlake,,https://charts-static.billboard.com/img/2008/10/ti-e27-53x53.jpg,7IhsLJMqdxoo7YAZjaSMru,311,0.713,0.746,-4.99,0.259,0.0402,0.0,135.021,spotify:track:7IhsLJMqdxoo7YAZjaSMru,299747.0
13,You Found Me,The Fray,2009,,,https://charts-static.billboard.com/img/2016/11/the-fray-53x53.jpg,4IoYz8XqqdowINzfRrFnhi,312,0.338,0.803,-5.412,0.0413,0.0187,0.0,151.994,spotify:track:4IoYz8XqqdowINzfRrFnhi,241853.0
14,Use Somebody,Kings Of Leon,2009,,,https://charts-static.billboard.com/img/2016/11/kings-of-leon-53x53.jpg,,313,,,,,,,,,
15,Knock You Down,Keri Hilson,2009,Kanye West,Ne-Yo,https://charts-static.billboard.com/img/2009/03/keri-hilson-1r3-53x53.jpg,58FUwmyGUqkt53YPUcm7cJ,314,0.588,0.877,-4.78,0.16,0.00952,0.0,155.165,spotify:track:58FUwmyGUqkt53YPUcm7cJ,326187.0
16,Blame It,Jamie Foxx,2009,T-Pain,,https://charts-static.billboard.com/img/1840/12/jamie-foxx-et9-53x53.jpg,08uGhvS5MfBk7crUCpnjva,315,0.673,0.614,-5.426,0.103,0.0782,0.0,176.052,spotify:track:08uGhvS5MfBk7crUCpnjva,289747.0
17,I Know You Want Me (Calle Ocho),Pitbull,2009,,,https://charts-static.billboard.com/img/2009/01/pitbull-odu-53x53.jpg,,316,,,,,,,,,
18,Live Your Life,T.I.,2009,Rihanna,,https://charts-static.billboard.com/img/2008/09/ti-e27-53x53.jpg,3jlbL2OTD5YmIunYzgQTAN,317,0.375,0.862,-3.363,0.255,0.071,0.0,159.841,spotify:track:3jlbL2OTD5YmIunYzgQTAN,338853.0
19,Kiss Me Thru The Phone,Soulja Boy Tell 'em,2009,Sammie,,https://charts-static.billboard.com/img/2008/12/soulja-boy-4vz-53x53.jpg,,318,,,,,,,,,
20,Down,Jay Sean,2009,Lil Wayne,,https://charts-static.billboard.com/img/2009/07/jay-sean-fk9-53x53.jpg,7LP4Es66zdY7CyjepqmvAg,319,0.657,0.695,-4.493,0.0321,0.0108,0.0,65.997,spotify:track:7LP4Es66zdY7CyjepqmvAg,212107.0
21,The Climb,Miley Cyrus,2009,,,https://charts-static.billboard.com/img/2009/02/miley-cyrus-clj-53x53.jpg,0V8FYVlBFuXXTIvRnMbZyS,320,0.327,0.588,-6.611,0.0336,0.0834,0.0,161.074,spotify:track:0V8FYVlBFuXXTIvRnMbZyS,236067.0
22,Best I Ever Had,Drake,2009,,,https://charts-static.billboard.com/img/2009/04/drake-hq6-53x53.jpg,1GxHeBvQ9935Dd3cSfsfBa,321,0.431,0.894,-2.673,0.33,0.0951,0.0,162.193,spotify:track:1GxHeBvQ9935Dd3cSfsfBa,258760.0
23,My Life Would Suck Without You,Kelly Clarkson,2009,,,https://charts-static.billboard.com/img/2009/01/kelly-clarkson-091-53x53.jpg,4Dm32oO01YpIubCHaAtKkN,322,0.526,0.882,-4.006,0.0509,0.0014,0.0,144.982,spotify:track:4Dm32oO01YpIubCHaAtKkN,211493.0
24,Halo,Beyonce,2009,,,https://charts-static.billboard.com/img/2009/01/beyonce-uwg-halo-ln8-53x53.jpg,4JehYebiI9JE8sR8MisGVb,323,0.508,0.72,-5.908,0.0628,0.272,0.0,79.983,spotify:track:4JehYebiI9JE8sR8MisGVb,261640.0
25,Hot N Cold,Katy Perry,2009,,,https://charts-static.billboard.com/img/2008/07/katy-perry-04d-53x53.jpg,1y4eb6hmAvsqlDOl3fx9kk,324,0.706,0.841,-3.956,0.0418,7.95e-05,0.0,132.032,spotify:track:1y4eb6hmAvsqlDOl3fx9kk,220227.0
26,Second Chance,Shinedown,2009,,,https://charts-static.billboard.com/img/2008/09/shinedown-pjk-53x53.jpg,0CwYG1UnRmOx8Q1EzElCIL,325,0.46,0.796,-4.501,0.0333,0.00107,0.0,100.011,spotify:track:0CwYG1UnRmOx8Q1EzElCIL,222067.0
27,Circus,Britney Spears,2009,,,https://charts-static.billboard.com/img/2017/02/britney-spears-53x53.jpg,7jk7gqyEonmVVYahZN5zhW,326,0.791,0.733,-5.215,0.052,0.147,0.000381,114.98,spotify:track:7jk7gqyEonmVVYahZN5zhW,192360.0
28,Day 'N' Nite,Kid Cudi,2009,,,https://charts-static.billboard.com/img/2008/11/kid-cudi-f7w-53x53.jpg,5FEXPoPnzueFJQCPRIrC3c,327,0.871,0.44,-6.25,0.0761,0.499,4.15e-06,137.996,spotify:track:5FEXPoPnzueFJQCPRIrC3c,221267.0
29,Party In The U.S.A.,Miley Cyrus,2009,,,https://charts-static.billboard.com/img/2009/08/miley-cyrus-clj-53x53.jpg,5Q0Nhxo0l2bP3pNjpGJwV1,328,0.652,0.698,-4.667,0.042,0.00112,0.000115,96.021,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,202067.0
30,Don't Trust Me,3OH!3,2009,,,https://charts-static.billboard.com/img/2008/11/3oh3-eia-53x53.jpg,,329,,,,,,,,,
31,Run This Town,"Jay-Z, Rihanna",2009,Kanye West,,https://charts-static.billboard.com/img/2009/08/jay-z-g81-53x53.jpg,,330,,,,,,,,,
32,Let It Rock,Kevin Rudolf,2009,Lil Wayne,,https://charts-static.billboard.com/img/2008/08/kevin-rudolf-872-53x53.jpg,6TrNRd98WksT9Kkmx9uj6R,331,0.607,0.784,-4.41,0.0397,0.000684,0.0,113.172,spotify:track:6TrNRd98WksT9Kkmx9uj6R,231173.0
33,Fire Burning,Sean Kingston,2009,,,https://charts-static.billboard.com/img/2009/05/sean-kingston-qzx-53x53.jpg,2oENJa1T33GJ0w8dC167G4,332,0.839,0.804,-2.513,0.0329,0.0192,0.0,122.973,spotify:track:2oENJa1T33GJ0w8dC167G4,239987.0
34,Whatcha Say,Jason Derulo,2009,,,https://charts-static.billboard.com/img/2009/07/jason-derulo-3xq-53x53.jpg,67T6l4q3zVjC5nZZPXByU8,333,0.615,0.711,-5.507,0.0779,0.0444,0.0,144.036,spotify:track:67T6l4q3zVjC5nZZPXByU8,221253.0
35,LoveGame,Lady Gaga,2009,,,https://charts-static.billboard.com/img/2008/09/lady-gaga-gyl-53x53.jpg,1D7LFKmMzkPxSW2ziHsJZz,334,0.894,0.677,-5.618,0.0548,0.00562,2.63e-06,105.029,spotify:track:1D7LFKmMzkPxSW2ziHsJZz,216333.0
36,Waking Up In Vegas,Katy Perry,2009,,,https://charts-static.billboard.com/img/2009/05/katy-perry-l8p-53x53.jpg,6fvxos1qSHrIgOkKw4dhWS,335,0.524,0.878,-3.108,0.0346,0.0012,0.0,130.989,spotify:track:6fvxos1qSHrIgOkKw4dhWS,199187.0
37,Birthday Sex,Jeremih,2009,,,https://charts-static.billboard.com/img/2009/02/jeremih-684-53x53.jpg,4NpDZPwSXmL0cCTaJuVrCw,336,0.677,0.523,-5.603,0.0439,0.295,0.0,60.02,spotify:track:4NpDZPwSXmL0cCTaJuVrCw,226507.0
38,Sober,P!nk,2009,,,https://charts-static.billboard.com/img/2008/11/pnk-u9h-53x53.jpg,,337,,,,,,,,,
39,Womanizer,Britney Spears,2009,,,https://charts-static.billboard.com/img/2017/02/britney-spears-53x53.jpg,4fixebDZAVToLbUCuEloa2,338,0.724,0.695,-5.226,0.0622,0.073,0.0,139.0,spotify:track:4fixebDZAVToLbUCuEloa2,224400.0
40,Whatever You Like,T.I.,2009,,,https://charts-static.billboard.com/img/2008/08/ti-e27-53x53.jpg,1IAzD1muglOxOcPbUHs70R,339,0.68,0.687,-6.162,0.0709,0.0161,0.0,150.053,spotify:track:1IAzD1muglOxOcPbUHs70R,249533.0
41,Obsessed,Mariah Carey,2009,,,https://charts-static.billboard.com/img/2009/06/mariah-carey-tgq-53x53.jpg,3IcIIZMMS7UArJJPtEHXG8,340,0.742,0.468,-5.557,0.0625,0.0465,0.0,86.443,spotify:track:3IcIIZMMS7UArJJPtEHXG8,242200.0
42,Mad,Ne-Yo,2009,,,https://charts-static.billboard.com/img/2008/10/ne-yo-kuu-mad-5uo-53x53.jpg,,341,,,,,,,,,
